,high,low
2020-12-01,10:00:00,10:00:00
2020-12-02,16:00:00,10:00:00
2020-12-03,14:00:00,10:00:00
2020-12-04,10:00:00,14:00:00
2020-12-07,12:00:00,10:00:00
2020-12-08,10:00:00,10:00:00
2020-12-09,11:00:00,14:00:00
2020-12-10,16:00:00,10:00:00
2020-12-11,10:00:00,13:00:00
2020-12-14,10:00:00,16:00:00
2020-12-15,16:00:00,11:00:00
2020-12-16,10:00:00,11:00:00
2020-12-17,10:00:00,11:00:00
2020-12-18,10:00:00,16:00:00
2020-12-21,10:00:00,10:00:00
2020-12-22,10:00:00,12:00:00
2020-12-23,11:00:00,10:00:00
2020-12-24,10:00:00,11:00:00
2020-12-28,11:00:00,10:00:00
2020-12-29,10:00:00,15:00:00
2020-12-30,12:00:00,10:00:00
2020-12-31,16:00:00,10:00:00
2021-01-04,10:00:00,12:00:00
2021-01-05,15:00:00,10:00:00
2021-01-06,15:00:00,10:00:00
2021-01-07,11:00:00,16:00:00
2021-01-08,10:00:00,14:00:00
2021-01-11,11:00:00,10:00:00
2021-01-12,16:00:00,10:00:00
2021-01-13,15:00:00,11:00:00
2021-01-14,11:00:00,10:00:00
2021-01-15,10:00:00,16:00:00
2021-01-19,14:00:00,11:00:00
2021-01-20,14:00:00,10:00:00
2021-01-21,10:00:00,13:00:00
2021-01-22,11:00:00,15:00:00
2021-01-25,10:00:00,12:00:00
2021-01-26,13:00:00,11:00:00
2021-01-27,12:00:00,10:00:00
2021-01-28,11:00:00,10:00:00
2021-01-29,10:00:00,15:00:00
2021-02-01,10:00:00,11:00:00
2021-02-02,16:00:00,11:00:00
2021-02-03,15:00:00,10:00:00
2021-02-04,15:00:00,10:00:00
2021-02-05,13:00:00,11:00:00
2021-02-08,13:00:00,10:00:00
2021-02-09,10:00:00,10:00:00
2021-02-10,13:00:00,11:00:00
2021-02-11,11:00:00,13:00:00
2021-02-12,11:00:00,10:00:00
2021-02-16,16:00:00,10:00:00
2021-02-17,10:00:00,10:00:00
2021-02-18,16:00:00,11:00:00
2021-02-19,11:00:00,10:00:00
2021-02-22,12:00:00,10:00:00
2021-02-23,16:00:00,10:00:00
2021-02-24,12:00:00,10:00:00
2021-02-25,10:00:00,14:00:00
2021-02-26,10:00:00,10:00:00
2021-03-01,10:00:00,16:00:00
2021-03-02,15:00:00,10:00:00
2021-03-03,14:00:00,12:00:00
2021-03-04,10:00:00,15:00:00
2021-03-05,10:00:00,12:00:00
2021-03-08,14:00:00,10:00:00
2021-03-09,10:00:00,11:00:00
2021-03-10,10:00:00,13:00:00
2021-03-11,12:00:00,10:00:00
2021-03-12,16:00:00,10:00:00
2021-03-15,12:00:00,10:00:00
2021-03-16,10:00:00,15:00:00
2021-03-17,16:00:00,10:00:00
2021-03-18,13:00:00,16:00:00
2021-03-19,10:00:00,10:00:00
2021-03-22,10:00:00,11:00:00
2021-03-23,10:00:00,16:00:00
2021-03-24,11:00:00,16:00:00
2021-03-25,13:00:00,10:00:00
2021-03-26,11:00:00,15:00:00
2021-03-29,10:00:00,12:00:00
2021-03-30,16:00:00,10:00:00
